model,layer,score
RESNET18-NO_AUG,conv1,1.4286
RESNET18-AUG,conv1,0.2143
ALEXNET-AUG,features.0,0.9286
RESNET18-NO_AUG,bn1,0.9643
ALEXNET-AUG,features.1,0.9286
RESNET18-AUG,bn1,0.4643
ALEXNET-AUG,features.2,0.5357
RESNET18-NO_AUG,act1,0.9643
RESNET50,conv1,0.8214
RESNET18-AUG,act1,0.4643
ALEXNET-AUG,features.3,-2.7500
RESNET18-NO_AUG,maxpool,0.0714
RESNET18-AUG,maxpool,0.3214
RESNET50,bn1,-0.3929
ALEXNET-NO_AUG,features.0,0.9286
ALEXNET-AUG,features.4,-2.7500
RESNET18-NO_AUG,layer1.0.conv1,-0.0000
CHRESMAX_V3_2,model_backbone.s1.layer1.0.conv1,-1.8571
CHRESMAX_V3_2_ABS,model_backbone.s1.0.conv1,-1.6429
RESNET18-AUG,layer1.0.conv1,-0.2143
ALEXNET-AUG,features.5,0.7143
ALEXNET-NO_AUG,features.1,0.9286
RESNET18-NO_AUG,layer1.0.bn1,0.0714
RESNET50,relu,-0.3929
ALEXNET-AUG,features.6,-3.5714
RESNET18-AUG,layer1.0.bn1,1.7500
ALEXNET-NO_AUG,features.2,0.9643
RESNET18-NO_AUG,layer1.0.drop_block,0.0714
ALEXNET-AUG,features.7,-3.5714
ALEXNET-NO_AUG,features.3,1.1071
RESNET50,maxpool,0.3929
RESNET18-AUG,layer1.0.drop_block,1.7500
RESNET18-NO_AUG,layer1.0.act1,0.0714
ALEXNET-AUG,features.8,-2.3929
ALEXNET-NO_AUG,features.4,1.1071
RESNET18-AUG,layer1.0.act1,1.7500
RESNET18-NO_AUG,layer1.0.aa,0.0714
ALEXNET-AUG,features.9,-2.3929
CHRESMAX_V3_2_ABS,model_backbone.s1.0.conv2,-0.5357
CHRESMAX_V3_2,model_backbone.s1.layer1.0.conv2,0.4286
RESNET50,layer1.0.conv1,-0.2500
ALEXNET-NO_AUG,features.5,-2.7857
RESNET18-NO_AUG,layer1.0.conv2,0.0714
RESNET18-AUG,layer1.0.aa,1.7500
ALEXNET-AUG,features.10,1.3929
ALEXNET-AUG,features.11,1.3929
ALEXNET-NO_AUG,features.6,-2.2500
RESNET18-NO_AUG,layer1.0.bn2,-1.4643
RESNET50,layer1.0.bn1,1.0000
RESNET18-AUG,layer1.0.conv2,-1.6071
ALEXNET-AUG,features.12,1.7143
ALEXNET-NO_AUG,features.7,-2.2500
RESNET18-NO_AUG,layer1.0.act2,-1.4643
RESNET18-AUG,layer1.0.bn2,-0.5714
RESNET50,layer1.0.conv2,-0.2143
ALEXNET-AUG,avgpool,1.7143
ALEXNET-AUG,classifier.0,FAILED
ALEXNET-AUG,classifier.1,FAILED
ALEXNET-AUG,classifier.2,FAILED
ALEXNET-AUG,classifier.3,FAILED
ALEXNET-NO_AUG,features.8,0.7857
ALEXNET-AUG,classifier.4,FAILED
ALEXNET-AUG,classifier.5,FAILED
ALEXNET-AUG,classifier.6,FAILED
RESNET18-NO_AUG,layer1.1.conv1,-1.0357
CHRESMAX_V3_2_ABS,model_backbone.s1.0.conv3,0.0000
CHRESMAX_V3_2,model_backbone.s1.layer1.0.conv3,0.0000
RESNET18-AUG,layer1.0.act2,-0.5714
ALEXNET-NO_AUG,features.9,0.7857
RESNET18-NO_AUG,layer1.1.bn1,-0.5357
RESNET50,layer1.0.bn2,-3.8571
ALEXNET-NO_AUG,features.10,1.3929
RESNET18-AUG,layer1.1.conv1,-1.1071
RESNET18-NO_AUG,layer1.1.drop_block,-0.5357
ALEXNET-NO_AUG,features.11,1.3929
RESNET50,layer1.0.conv3,-1.7143
RESNET18-AUG,layer1.1.bn1,-1.6071
RESNET18-NO_AUG,layer1.1.act1,-0.5357
ALEXNET-NO_AUG,features.12,1.9643
CHRESMAX_V3_2_ABS,model_backbone.s1.0.bn1,-1.6786
RESNET18-NO_AUG,layer1.1.aa,-0.5357
RESNET18-AUG,layer1.1.drop_block,-1.6071
ALEXNET-NO_AUG,avgpool,1.9643
RESNET50,layer1.0.bn3,0.2857
ALEXNET-NO_AUG,classifier.0,FAILED
ALEXNET-NO_AUG,classifier.1,FAILED
ALEXNET-NO_AUG,classifier.2,FAILED
ALEXNET-NO_AUG,classifier.3,FAILED
ALEXNET-NO_AUG,classifier.4,FAILED
ALEXNET-NO_AUG,classifier.5,FAILED
ALEXNET-NO_AUG,classifier.6,FAILED
CHRESMAX_V3_2,model_backbone.s1.layer1.0.bn1,-2.4286
RESNET18-NO_AUG,layer1.1.conv2,-0.7500
RESNET18-AUG,layer1.1.act1,-1.6071
RESNET50,layer1.0.relu,0.2857
RESNET18-NO_AUG,layer1.1.bn2,-0.6429
RESNET18-AUG,layer1.1.aa,-1.6071
RESNET18-NO_AUG,layer1.1.act2,-0.6429
RESNET50,layer1.0.downsample.0,-0.1786
RESNET18-AUG,layer1.1.conv2,1.1429
